"Ticket_ID,Date_Opened,Date_Closed,Resolution_Due_Date,Category,Assigned_To,Status"
"T068,2024-05-06,,2024-05-09,Security,Sarah Brown,Open"
"T069,2024-05-07,2024-05-08,2024-05-10,Hardware,John Doe,Closed"
"T070,2024-05-08,2024-05-10,2024-05-13,Software,Jane Smith,Closed"
"T071,2024-05-09,,2024-05-14,Network,Mike Johnson,Open"
"T072,2024-05-10,2024-05-13,2024-05-15,Security,Sarah Brown,Closed"
"T073,2024-05-13,2024-05-16,2024-05-16,Hardware,John Doe,Closed"
"T074,2024-05-14,,2024-05-17,Software,Jane Smith,Open"
"T075,2024-05-15,2024-05-16,2024-05-20,Network,Mike Johnson,Closed"
"T076,2024-05-16,2024-05-20,2024-05-21,Security,Sarah Brown,Closed"
"T077,2024-05-17,,2024-05-22,Hardware,John Doe,Open"
"T078,2024-05-20,2024-05-21,2024-05-23,Software,Jane Smith,Closed"
"T079,2024-05-21,2024-05-24,2024-05-24,Network,Mike Johnson,Closed"
"T080,2024-05-22,,2024-05-27,Security,Sarah Brown,Open"
"T081,2024-05-23,2024-05-27,2024-05-28,Hardware,John Doe,Closed"
"T082,2024-05-24,2024-05-29,2024-05-29,Software,Jane Smith,Closed"
"T083,2024-05-27,2024-05-28,2024-05-30,Network,Mike Johnson,Closed"
"T084,2024-05-28,,2024-05-31,Security,Sarah Brown,Open"
"T085,2024-05-29,2024-05-31,2024-06-03,Hardware,John Doe,Closed"
"T086,2024-05-30,2024-06-03,2024-06-04,Software,Jane Smith,Closed"
"T087,2024-05-31,2024-06-04,2024-06-05,Network,Mike Johnson,Closed"
"T088,2024-06-03,,2024-06-06,Security,Sarah Brown,Open"
"T089,2024-06-04,2024-06-05,2024-06-07,Hardware,John Doe,Closed"
"T090,2024-06-05,2024-06-07,2024-06-10,Software,Jane Smith,Closed"
"T091,2024-06-06,,2024-06-11,Network,Mike Johnson,Open"
"T092,2024-06-07,2024-06-10,2024-06-12,Security,Sarah Brown,Closed"
"T093,2024-06-10,2024-06-13,2024-06-13,Hardware,John Doe,Closed"
"T094,2024-06-11,,2024-06-14,Software,Jane Smith,Open"
"T095,2024-06-12,2024-06-13,2024-06-17,Network,Mike Johnson,Closed"
"T096,2024-06-13,2024-06-17,2024-06-18,Security,Sarah Brown,Closed"
"T097,2024-06-14,,2024-06-19,Hardware,John Doe,Open"
"T098,2024-06-17,2024-06-18,2024-06-20,Software,Jane Smith,Closed"
"T099,2024-06-18,2024-06-21,2024-06-21,Network,Mike Johnson,Closed"
"T100,2024-06-19,,2024-06-24,Security,Sarah Brown,Open"
"T101,2024-06-20,2024-06-24,2024-06-25,Hardware,John Doe,Closed"
"T102,2024-06-21,2024-06-26,2024-06-26,Software,Jane Smith,Closed"
"T103,2024-06-24,2024-06-25,2024-06-27,Network,Mike Johnson,Closed"
"T104,2024-06-25,,2024-06-28,Security,Sarah Brown,Open"
"T105,2024-06-26,2024-06-28,2024-07-01,Hardware,John Doe,Closed"
"T106,2024-06-27,2024-07-01,2024-07-02,Software,Jane Smith,Closed"
"T107,2024-06-28,2024-07-02,2024-07-03,Network,Mike Johnson,Closed"
"T108,2024-07-01,,2024-07-04,Security,Sarah Brown,Open"
"T109,2024-07-02,2024-07-03,2024-07-05,Hardware,John Doe,Closed"
"T110,2024-07-03,2024-07-05,2024-07-08,Software,Jane Smith,Closed"
"T111,2024-07-04,,2024-07-09,Network,Mike Johnson,Open"
"T112,2024-07-05,2024-07-08,2024-07-10,Security,Sarah Brown,Closed"
"T113,2024-07-08,2024-07-11,2024-07-11,Hardware,John Doe,Closed"
"T114,2024-07-09,,2024-07-12,Software,Jane Smith,Open"
"T115,2024-07-10,2024-07-11,2024-07-15,Network,Mike Johnson,Closed"
"T116,2024-07-11,2024-07-15,2024-07-16,Security,Sarah Brown,Closed"
"T117,2024-07-12,,2024-07-17,Hardware,John Doe,Open"
"T118,2024-07-15,2024-07-16,2024-07-18,Software,Jane Smith,Closed"
"T119,2024-07-16,2024-07-19,2024-07-19,Network,Mike Johnson,Closed"
"T120,2024-07-17,,2024-07-22,Security,Sarah Brown,Open"
"T121,2024-07-18,2024-07-22,2024-07-23,Hardware,John Doe,Closed"
"T122,2024-07-19,2024-07-24,2024-07-24,Software,Jane Smith,Closed"
"T123,2024-07-22,2024-07-23,2024-07-25,Network,Mike Johnson,Closed"
"T124,2024-07-23,,2024-07-26,Security,Sarah Brown,Open"
"T125,2024-07-24,2024-07-26,2024-07-29,Hardware,John Doe,Closed"
"T126,2024-07-25,2024-07-29,2024-07-30,Software,Jane Smith,Closed"
"T127,2024-07-26,2024-07-30,2024-07-31,Network,Mike Johnson,Closed"
"T128,2024-07-29,,2024-08-01,Security,Sarah Brown,Open"
"T129,2024-07-30,2024-07-31,2024-08-02,Hardware,John Doe,Closed"
"T130,2024-07-31,2024-08-02,2024-08-05,Software,Jane Smith,Closed"
"T131,2024-08-01,,2024-08-06,Network,Mike Johnson,Open"
"T132,2024-08-02,2024-08-05,2024-08-07,Security,Sarah Brown,Closed"
"T133,2024-08-05,2024-08-08,2024-08-08,Hardware,John Doe,Closed"
"T134,2024-08-06,,2024-08-09,Software,Jane Smith,Open"
"T135,2024-08-07,2024-08-08,2024-08-12,Network,Mike Johnson,Closed"
"T136,2024-08-08,2024-08-12,2024-08-13,Security,Sarah Brown,Closed"
"T137,2024-08-09,,2024-08-14,Hardware,John Doe,Open"
"T138,2024-08-12,2024-08-13,2024-08-15,Software,Jane Smith,Closed"
"T139,2024-08-13,2024-08-16,2024-08-16,Network,Mike Johnson,Closed"
"T140,2024-08-14,,2024-08-19,Security,Sarah Brown,Open"
"T141,2024-08-15,2024-08-19,2024-08-20,Hardware,John Doe,Closed"
"T142,2024-08-16,2024-08-21,2024-08-21,Software,Jane Smith,Closed"
"T143,2024-08-19,2024-08-20,2024-08-22,Network,Mike Johnson,Closed"
"T144,2024-08-20,,2024-08-23,Security,Sarah Brown,Open"
"T145,2024-08-21,2024-08-23,2024-08-26,Hardware,John Doe,Closed"
"T146,2024-08-22,2024-08-26,2024-08-27,Software,Jane Smith,Closed"
"T147,2024-08-23,2024-08-27,2024-08-28,Network,Mike Johnson,Closed"
"T148,2024-08-26,,2024-08-29,Security,Sarah Brown,Open"
"T149,2024-08-27,2024-08-28,2024-08-30,Hardware,John Doe,Closed"
"T150,2024-08-28,2024-08-30,2024-09-02,Software,Jane Smith,Closed"
"T151,2024-08-29,,2024-09-03,Network,Mike Johnson,Open"
"T152,2024-08-30,2024-09-02,2024-09-04,Security,Sarah Brown,Closed"
"T153,2024-09-02,2024-09-05,2024-09-05,Hardware,John Doe,Closed"
"T154,2024-09-03,,2024-09-06,Software,Jane Smith,Open"
"T155,2024-09-04,2024-09-05,2024-09-09,Network,Mike Johnson,Closed"
"T156,2024-09-05,2024-09-09,2024-09-10,Security,Sarah Brown,Closed"
"T157,2024-09-06,,2024-09-11,Hardware,John Doe,Open"
"T158,2024-09-09,2024-09-10,2024-09-12,Software,Jane Smith,Closed"
"T159,2024-09-10,2024-09-13,2024-09-13,Network,Mike Johnson,Closed"
"T160,2024-09-11,,2024-09-16,Security,Sarah Brown,Open"
"T161,2024-09-12,2024-09-16,2024-09-17,Hardware,John Doe,Closed"
"T162,2024-09-13,2024-09-18,2024-09-18,Software,Jane Smith,Closed"
"T163,2024-09-16,2024-09-17,2024-09-19,Network,Mike Johnson,Closed"
"T164,2024-09-17,,2024-09-20,Security,Sarah Brown,Open"
"T165,2024-09-18,2024-09-20,2024-09-23,Hardware,John Doe,Closed"
"T166,2024-09-19,2024-09-23,2024-09-24,Software,Jane Smith,Closed"
"T167,2024-09-20,2024-09-24,2024-09-25,Network,Mike Johnson,Closed"
"T168,2024-09-23,,2024-09-26,Security,Sarah Brown,Open"
"T169,2024-09-24,2024-09-25,2024-09-27,Hardware,John Doe,Closed"
"T170,2024-09-25,2024-09-27,2024-09-30,Software,Jane Smith,Closed"
"T171,2024-09-26,,2024-10-01,Network,Mike Johnson,Open"
"T172,2024-09-27,2024-09-30,2024-10-02,Security,Sarah Brown,Closed"
"T173,2024-09-30,2024-10-03,2024-10-03,Hardware,John Doe,Closed"
"T174,2024-10-01,,2024-10-04,Software,Jane Smith,Open"
"T175,2024-10-02,2024-10-03,2024-10-07,Network,Mike Johnson,Closed"
"T176,2024-10-03,2024-10-07,2024-10-08,Security,Sarah Brown,Closed"
"T177,2024-10-04,,2024-10-09,Hardware,John Doe,Open"
"T178,2024-10-07,2024-10-08,2024-10-10,Software,Jane Smith,Closed"
"T179,2024-10-08,2024-10-11,2024-10-11,Network,Mike Johnson,Closed"
"T180,2024-10-09,,2024-10-14,Security,Sarah Brown,Open"
"T181,2024-10-10,2024-10-14,2024-10-15,Hardware,John Doe,Closed"
"T182,2024-10-11,2024-10-16,2024-10-16,Software,Jane Smith,Closed"
"T183,2024-10-14,2024-10-15,2024-10-17,Network,Mike Johnson,Closed"
"T184,2024-10-15,,2024-10-18,Security,Sarah Brown,Open"
"T185,2024-10-16,2024-10-18,2024-10-21,Hardware,John Doe,Closed"
"T186,2024-10-17,2024-10-21,2024-10-22,Software,Jane Smith,Closed"
"T187,2024-10-18,2024-10-22,2024-10-23,Network,Mike Johnson,Closed"
"T188,2024-10-21,,2024-10-24,Security,Sarah Brown,Open"
"T189,2024-10-22,2024-10-23,2024-10-25,Hardware,John Doe,Closed"
"T190,2024-10-23,2024-10-25,2024-10-28,Software,Jane Smith,Closed"
"T191,2024-10-24,,2024-10-29,Network,Mike Johnson,Open"
"T192,2024-10-25,2024-10-28,2024-10-30,Security,Sarah Brown,Closed"
"T193,2024-10-28,2024-10-31,2024-10-31,Hardware,John Doe,Closed"
"T194,2024-10-29,,2024-11-01,Software,Jane Smith,Open"
"T195,2024-10-30,2024-10-31,2024-11-04,Network,Mike Johnson,Closed"
"T196,2024-10-31,2024-11-04,2024-11-05,Security,Sarah Brown,Closed"
"T197,2024-11-01,,2024-11-06,Hardware,John Doe,Open"
"T198,2024-11-04,2024-11-05,2024-11-07,Software,Jane Smith,Closed"
"T199,2024-11-05,2024-11-08,2024-11-08,Network,Mike Johnson,Closed"
"T200,2024-11-06,,2024-11-11,Security,Sarah Brown,Open"
"T201,2024-11-07,2024-11-11,2024-11-12,Hardware,John Doe,Closed"
"T202,2024-11-08,2024-11-13,2024-11-13,Software,Jane Smith,Closed"
"T203,2024-11-11,2024-11-12,2024-11-14,Network,Mike Johnson,Closed"
"T204,2024-11-12,,2024-11-15,Security,Sarah Brown,Open"
"T205,2024-11-13,2024-11-15,2024-11-18,Hardware,John Doe,Closed"
"T206,2024-11-14,2024-11-18,2024-11-19,Software,Jane Smith,Closed"
"T207,2024-11-15,2024-11-19,2024-11-20,Network,Mike Johnson,Closed"
"T208,2024-11-18,,2024-11-21,Security,Sarah Brown,Open"
"T209,2024-11-19,2024-11-20,2024-11-22,Hardware,John Doe,Closed"
"T210,2024-11-20,2024-11-22,2024-11-25,Software,Jane Smith,Closed"
"T211,2024-11-21,,2024-11-26,Network,Mike Johnson,Open"
"T212,2024-11-22,2024-11-25,2024-11-27,Security,Sarah Brown,Closed"
"T213,2024-11-25,2024-11-28,2024-11-28,Hardware,John Doe,Closed"
"T214,2024-11-26,,2024-11-29,Software,Jane Smith,Open"
"T215,2024-11-27,2024-11-28,2024-12-02,Network,Mike Johnson,Closed"
"T216,2024-11-28,2024-12-02,2024-12-03,Security,Sarah Brown,Closed"
"T217,2024-11-29,,2024-12-04,Hardware,John Doe,Open"
"T218,2024-12-02,2024-12-03,2024-12-05,Software,Jane Smith,Closed"
"T219,2024-12-03,2024-12-06,2024-12-06,Network,Mike Johnson,Closed"
"T220,2024-12-04,,2024-12-09,Security,Sarah Brown,Open"
"T221,2024-12-05,2024-12-09,2024-12-10,Hardware,John Doe,Closed"
"T222,2024-12-06,2024-12-11,2024-12-11,Software,Jane Smith,Closed"
"T223,2024-12-09,2024-12-10,2024-12-12,Network,Mike Johnson,Closed"
"T224,2024-12-10,,2024-12-13,Security,Sarah Brown,Open"
"T225,2024-12-11,2024-12-13,2024-12-16,Hardware,John Doe,Closed"
"T226,2024-12-12,2024-12-16,2024-12-17,Software,Jane Smith,Closed"
"T227,2024-12-13,2024-12-17,2024-12-18,Network,Mike Johnson,Closed"
"T228,2024-12-16,,2024-12-19,Security,Sarah Brown,Open"
"T229,2024-12-17,2024-12-18,2024-12-20,Hardware,John Doe,Closed"
"T230,2024-12-18,2024-12-20,2024-12-23,Software,Jane Smith,Closed"
"T231,2024-12-19,,2024-12-24,Network,Mike Johnson,Open"
"T232,2024-12-20,2024-12-23,2024-12-25,Security,Sarah Brown,Closed"
"T233,2024-12-23,2024-12-26,2024-12-26,Hardware,John Doe,Closed"
"T234,2024-12-24,,2024-12-27,Software,Jane Smith,Open"
"T235,2024-12-25,2024-12-26,2024-12-30,Network,Mike Johnson,Closed"
"T236,2024-12-26,2024-12-30,2024-12-31,Security,Sarah Brown,Closed"
"T237,2024-12-27,,2025-01-01,Hardware,John Doe,Open"
"T238,2024-12-30,2024-12-31,2025-01-02,Software,Jane Smith,Closed"
"T239,2024-12-31,,2025-01-03,Network,Mike Johnson,Open"
"T240,2024-02-05,2024-02-06,2024-02-08,Network,Mike Johnson,Closed"
"T241,2024-02-06,,2024-02-09,Security,Sarah Brown,Open"
"T242,2024-02-07,2024-02-09,2024-02-12,Hardware,John Doe,Closed"
"T243,2024-02-08,2024-02-12,2024-02-13,Software,Jane Smith,Closed"
"T244,2024-02-09,2024-02-13,2024-02-14,Network,Mike Johnson,Closed"
"T245,2024-02-12,,2024-02-15,Security,Sarah Brown,Open"
"T246,2024-02-13,2024-02-14,2024-02-16,Hardware,John Doe,Closed"
"T247,2024-02-14,2024-02-16,2024-02-19,Software,Jane Smith,Closed"
"T248,2024-02-15,,2024-02-20,Network,Mike Johnson,Open"
"T249,2024-02-16,2024-02-19,2024-02-21,Security,Sarah Brown,Closed"
"T250,2024-02-19,2024-02-22,2024-02-22,Hardware,John Doe,Closed"
"T251,2024-02-20,,2024-02-23,Software,Jane Smith,Open"
"T252,2024-02-21,2024-02-22,2024-02-26,Network,Mike Johnson,Closed"
"T253,2024-02-22,2024-02-26,2024-02-27,Security,Sarah Brown,Closed"
"T254,2024-02-23,,2024-02-28,Hardware,John Doe,Open"
"T255,2024-02-26,2024-02-27,2024-02-29,Software,Jane Smith,Closed"
"T256,2024-02-27,2024-03-01,2024-03-01,Network,Mike Johnson,Closed"
"T257,2024-02-28,,2024-03-04,Security,Sarah Brown,Open"
"T258,2024-02-29,2024-03-04,2024-03-05,Hardware,John Doe,Closed"
"T259,2024-03-01,2024-03-02,2024-03-05,Network,Mike Johnson,Closed"
"T260,2024-03-02,2024-03-03,2024-03-06,Security,Sarah Brown,Closed"
"T261,2024-03-03,2024-03-04,2024-03-07,Hardware,John Doe,Closed"
"T262,2024-03-04,2024-03-05,2024-03-08,Software,Jane Smith,Closed"
"T263,2024-03-05,2024-03-06,2024-03-09,Network,Mike Johnson,Closed"
"T264,2024-03-06,,2024-03-10,Security,Sarah Brown,Open"
"T265,2024-03-07,2024-03-08,2024-03-11,Hardware,John Doe,Closed"
"T266,2024-03-08,2024-03-09,2024-03-12,Software,Jane Smith,Closed"
"T267,2024-03-09,2024-03-10,2024-03-13,Network,Mike Johnson,Closed"
"T268,2024-03-10,2024-03-11,2024-03-14,Security,Sarah Brown,Closed"
"T269,2024-03-11,2024-03-12,2024-03-15,Hardware,John Doe,Closed"
"T270,2024-03-12,2024-03-13,2024-03-16,Software,Jane Smith,Closed"
"T271,2024-03-13,2024-03-14,2024-03-17,Network,Mike Johnson,Closed"
"T272,2024-03-14,,2024-03-18,Security,Sarah Brown,Open"
"T273,2024-03-15,2024-03-16,2024-03-19,Hardware,John Doe,Closed"
"T274,2024-03-16,2024-03-17,2024-03-20,Software,Jane Smith,Closed"
"T275,2024-03-17,2024-03-18,2024-03-21,Network,Mike Johnson,Closed"
"T276,2024-03-18,2024-03-19,2024-03-22,Security,Sarah Brown,Closed"
"T277,2024-03-19,2024-03-20,2024-03-23,Hardware,John Doe,Closed"
"T278,2024-03-20,2024-03-21,2024-03-24,Software,Jane Smith,Closed"
"T279,2024-03-21,2024-03-22,2024-03-25,Network,Mike Johnson,Closed"
"T280,2024-03-22,,2024-03-26,Security,Sarah Brown,Open"
"T281,2024-03-23,2024-03-24,2024-03-27,Hardware,John Doe,Closed"
"T282,2024-03-24,2024-03-25,2024-03-28,Software,Jane Smith,Closed"
"T283,2024-03-25,2024-03-26,2024-03-29,Network,Mike Johnson,Closed"
"T284,2024-03-26,2024-03-27,2024-03-30,Security,Sarah Brown,Closed"
"T285,2024-03-27,2024-03-28,2024-03-31,Hardware,John Doe,Closed"
"T286,2024-03-28,2024-03-29,2024-04-01,Software,Jane Smith,Closed"
"T287,2024-03-29,2024-03-30,2024-04-02,Network,Mike Johnson,Closed"
"T288,2024-03-30,,2024-04-03,Security,Sarah Brown,Open"
"T289,2024-03-31,2024-04-01,2024-04-04,Hardware,John Doe,Closed"
"T290,2024-04-01,2024-04-02,2024-04-05,Software,Jane Smith,Closed"
"T291,2024-04-02,2024-04-03,2024-04-06,Network,Mike Johnson,Closed"
"T292,2024-04-03,2024-04-04,2024-04-07,Security,Sarah Brown,Closed"
"T293,2024-04-04,2024-04-05,2024-04-08,Hardware,John Doe,Closed"
"T294,2024-04-05,2024-04-06,2024-04-09,Software,Jane Smith,Closed"
"T295,2024-04-06,2024-04-07,2024-04-10,Network,Mike Johnson,Closed"
"T296,2024-04-07,,2024-04-11,Security,Sarah Brown,Open"
"T297,2024-04-08,2024-04-09,2024-04-12,Hardware,John Doe,Closed"
"T298,2024-04-09,2024-04-10,2024-04-13,Software,Jane Smith,Closed"
"T299,2024-04-10,2024-04-11,2024-04-14,Network,Mike Johnson,Closed"
"T300,2024-04-11,2024-04-12,2024-04-15,Security,Sarah Brown,Closed"
"T301,2024-04-12,2024-04-13,2024-04-16,Hardware,John Doe,Closed"
"T302,2024-04-13,2024-04-14,2024-04-17,Software,Jane Smith,Closed"
"T303,2024-04-14,2024-04-15,2024-04-18,Network,Mike Johnson,Closed"
"T304,2024-04-15,,2024-04-19,Security,Sarah Brown,Open"
"T305,2024-04-16,2024-04-17,2024-04-20,Hardware,John Doe,Closed"
"T306,2024-04-17,2024-04-18,2024-04-21,Software,Jane Smith,Closed"
"T307,2024-04-18,2024-04-19,2024-04-22,Network,Mike Johnson,Closed"
"T308,2024-04-19,2024-04-20,2024-04-23,Security,Sarah Brown,Closed"
"T309,2024-04-20,2024-04-21,2024-04-24,Hardware,John Doe,Closed"
"T310,2024-04-21,2024-04-22,2024-04-25,Software,Jane Smith,Closed"
"T311,2024-04-22,2024-04-23,2024-04-26,Network,Mike Johnson,Closed"
"T312,2024-04-23,,2024-04-27,Security,Sarah Brown,Open"
"T313,2024-04-24,2024-04-25,2024-04-28,Hardware,John Doe,Closed"
"T314,2024-04-25,2024-04-26,2024-04-29,Software,Jane Smith,Closed"
"T315,2024-04-26,2024-04-27,2024-04-30,Network,Mike Johnson,Closed"
"T316,2024-04-27,2024-04-28,2024-05-01,Security,Sarah Brown,Closed"
"T317,2024-04-28,2024-04-29,2024-05-02,Hardware,John Doe,Closed"
"T318,2024-04-29,2024-04-30,2024-05-03,Software,Jane Smith,Closed"
"T319,2024-04-30,2024-05-01,2024-05-04,Network,Mike Johnson,Closed"
"T320,2024-05-01,,2024-05-05,Security,Sarah Brown,Open"
"T321,2024-05-02,2024-05-03,2024-05-06,Hardware,John Doe,Closed"
"T322,2024-05-03,2024-05-04,2024-05-07,Software,Jane Smith,Closed"
"T323,2024-05-04,2024-05-05,2024-05-08,Network,Mike Johnson,Closed"
"T324,2024-05-05,2024-05-06,2024-05-09,Security,Sarah Brown,Closed"
"T325,2024-05-06,2024-05-07,2024-05-10,Hardware,John Doe,Closed"
"T326,2024-05-07,2024-05-08,2024-05-11,Software,Jane Smith,Closed"
"T327,2024-05-08,2024-05-09,2024-05-12,Network,Mike Johnson,Closed"
"T328,2024-05-09,,2024-05-13,Security,Sarah Brown,Open"
"T329,2024-05-10,2024-05-11,2024-05-14,Hardware,John Doe,Closed"
"T330,2024-05-11,2024-05-12,2024-05-15,Software,Jane Smith,Closed"
"T331,2024-05-12,2024-05-13,2024-05-16,Network,Mike Johnson,Closed"
"T332,2024-05-13,2024-05-14,2024-05-17,Security,Sarah Brown,Closed"
"T333,2024-05-14,2024-05-15,2024-05-18,Hardware,John Doe,Closed"
"T334,2024-05-15,2024-05-16,2024-05-19,Software,Jane Smith,Closed"
"T335,2024-05-16,2024-05-17,2024-05-20,Network,Mike Johnson,Closed"
"T336,2024-05-17,,2024-05-21,Security,Sarah Brown,Open"
"T337,2024-05-18,2024-05-19,2024-05-22,Hardware,John Doe,Closed"
"T338,2024-05-19,2024-05-20,2024-05-23,Software,Jane Smith,Closed"
"T339,2024-05-20,2024-05-21,2024-05-24,Network,Mike Johnson,Closed"
"T340,2024-05-21,2024-05-22,2024-05-25,Security,Sarah Brown,Closed"
"T341,2024-05-22,2024-05-23,2024-05-26,Hardware,John Doe,Closed"
"T342,2024-05-23,2024-05-24,2024-05-27,Software,Jane Smith,Closed"
"T343,2024-05-24,2024-05-25,2024-05-28,Network,Mike Johnson,Closed"
"T344,2024-05-25,,2024-05-29,Security,Sarah Brown,Open"
"T345,2024-05-26,2024-05-27,2024-05-30,Hardware,John Doe,Closed"
"T346,2024-05-27,2024-05-28,2024-05-31,Software,Jane Smith,Closed"
"T347,2024-05-28,2024-05-29,2024-06-01,Network,Mike Johnson,Closed"
"T348,2024-05-29,2024-05-30,2024-06-02,Security,Sarah Brown,Closed"
"T349,2024-05-30,2024-05-31,2024-06-03,Hardware,John Doe,Closed"
"T350,2024-05-31,2024-06-01,2024-06-04,Software,Jane Smith,Closed"
"T351,2024-06-01,2024-06-02,2024-06-05,Network,Mike Johnson,Closed"
"T352,2024-06-02,,2024-06-06,Security,Sarah Brown,Open"
"T353,2024-06-03,2024-06-04,2024-06-07,Hardware,John Doe,Closed"
"T354,2024-06-04,2024-06-05,2024-06-08,Software,Jane Smith,Closed"
"T355,2024-06-05,2024-06-06,2024-06-09,Network,Mike Johnson,Closed"
"T356,2024-06-06,2024-06-07,2024-06-10,Security,Sarah Brown,Closed"
"T357,2024-06-07,2024-06-08,2024-06-11,Hardware,John Doe,Closed"
"T358,2024-06-08,2024-06-09,2024-06-12,Software,Jane Smith,Closed"
